7450-980919
OS REV: 1.05 Sensor Cal: 1624979108
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1684827120,+2.70,+30.543, +7.295,+0.956
1684827180,+2.70,+30.872, +7.274,+0.956
1684827240,+2.70,+31.307, +7.249,+0.954
1684827300,+2.70,+31.821, +7.190,+0.954
1684827360,+2.70,+32.477, +7.119,+0.952
1684827420,+2.70,+33.172, +7.022,+0.951
1684827480,+2.70,+33.799, +6.950,+0.950
1684827540,+2.70,+34.207, +6.812,+0.947
1684827600,+2.70,+33.799, +7.302,+0.948
1684827660,+2.70,+33.348, +7.530,+0.949
1684827720,+2.70,+33.031, +8.163,+0.950
1684827780,+2.70,+32.785, +7.782,+0.939
1684827840,+2.70,+32.609, +7.823,+0.940
1684827900,+2.70,+32.495, +7.509,+0.944
1684827960,+2.70,+32.398, +7.591,+0.944
1684828020,+2.70,+32.346, +7.570,+0.946
1684828080,+2.70,+32.311, +7.516,+0.946
1684828140,+2.70,+32.293, +7.416,+0.948
1684828200,+2.70,+32.249, +7.342,+0.948
1684828260,+2.70,+32.241, +7.412,+0.949
1684828320,+2.70,+32.232, +7.361,+0.949
1684828380,+2.70,+32.232, +7.407,+0.950
1684828440,+2.70,+32.223, +7.330,+0.950
1684828500,+2.70,+32.232, +7.229,+0.951
1684828560,+2.70,+32.232, +7.199,+0.951
1684828620,+2.70,+32.232, +7.269,+0.950
1684828680,+2.70,+32.223, +7.187,+0.952
1684828740,+2.70,+32.249, +7.172,+0.952
1684828800,+2.70,+32.197, +7.169,+0.953
1684828860,+2.70,+32.223, +7.150,+0.953
1684828920,+2.70,+32.206, +7.129,+0.953
1684828980,+2.70,+32.206, +7.112,+0.954
1684829040,+2.70,+32.214, +7.128,+0.953
1684829100,+2.70,+32.223, +7.137,+0.953
1684829160,+2.70,+32.223, +7.174,+0.953
1684829220,+2.70,+32.223, +7.256,+0.953
1684829280,+2.70,+32.214, +7.201,+0.953
1684829340,+2.70,+32.214, +7.171,+0.953
1684829400,+2.70,+32.223, +7.121,+0.953
1684829460,+2.70,+32.223, +7.084,+0.954
1684829520,+2.70,+32.206, +7.092,+0.954
1684829580,+2.70,+32.223, +7.073,+0.953
1684829640,+2.70,+32.223, +7.054,+0.955
1684829700,+2.70,+32.241, +7.011,+0.955
1684829760,+2.70,+32.232, +6.958,+0.955
1684829820,+2.70,+32.214, +6.961,+0.956
1684829880,+2.70,+32.214, +6.955,+0.954
1684829940,+2.70,+32.188, +6.972,+0.956
1684830000,+2.70,+32.206, +6.983,+0.955
1684830060,+2.70,+32.223, +6.953,+0.955
